root@autodl-container-1gcj1rxds4-d7bef2bf:~/Code# python main.py --alg qsgd --dataset cifar --iid 0 --alpha 0.1 --epochs 400 --gpu 0
Files already downloaded and verified
Files already downloaded and verified
Load dataset: cifar | Train set: 50000, Test set: 10000, Clients: 100
Model: cnn, Params: 2,777,674
Experiment Setup: Algorithm=qsgd, Dataset=cifar(Non-IID), Model=cnn, Epochs=400, Clients=100(10%), Local Epochs=5
QSGD Config: Quantization Bits=8
Other Configs: EMA=Off, Device=cuda:0, Optimizer=sgd, LR=0.001, Seed=42
[Cold Start] Initial model distribution: 1086790.6KB, Cumulative: 1086790.6KB
Round 102: TestAcc: 32.87%, TestLoss: 1.8585, TrainAcc: 86.53%, TrainLoss: 1.0842, Comm: 1113964.3KB, Cum: 113624356.3KB, Time: 36.7s                                         
Round 103: TestAcc: 25.58%, TestLoss: 1.9677, TrainAcc: 90.94%, TrainLoss: 0.9385, Comm: 1113964.3KB, Cum: 114738320.6KB, Time: 38.0s                                         
Round 104: TestAcc: 23.17%, TestLoss: 1.9986, TrainAcc: 87.97%, TrainLoss: 0.9010, Comm: 1113964.3KB, Cum: 115852284.8KB, Time: 36.1s                                         
Round 105: TestAcc: 31.09%, TestLoss: 1.9303, TrainAcc: 86.54%, TrainLoss: 1.0726, Comm: 1113964.3KB, Cum: 116966249.1KB, Time: 36.6s                                         
Round 106: TestAcc: 26.75%, TestLoss: 1.9643, TrainAcc: 84.40%, TrainLoss: 1.0621, Comm: 1113964.3KB, Cum: 118080213.4KB, Time: 34.7s                                         
Round 107: TestAcc: 36.63%, TestLoss: 1.8131, TrainAcc: 86.41%, TrainLoss: 1.1773, Comm: 1113964.3KB, Cum: 119194177.7KB, Time: 33.1s                                         
Round 108: TestAcc: 33.83%, TestLoss: 1.8475, TrainAcc: 90.50%, TrainLoss: 0.8859, Comm: 1113964.3KB, Cum: 120308142.0KB, Time: 34.2s                                         
Round 109: TestAcc: 33.48%, TestLoss: 1.8199, TrainAcc: 85.22%, TrainLoss: 1.1063, Comm: 1113964.3KB, Cum: 121422106.2KB, Time: 31.8s                                         
Round 110: TestAcc: 33.61%, TestLoss: 1.8880, TrainAcc: 90.06%, TrainLoss: 1.0642, Comm: 1113964.3KB, Cum: 122536070.5KB, Time: 28.7s                                         
Round 111: TestAcc: 31.89%, TestLoss: 1.8632, TrainAcc: 83.31%, TrainLoss: 1.0440, Comm: 1113964.3KB, Cum: 123650034.8KB, Time: 36.3s                                         
Round 112: TestAcc: 25.84%, TestLoss: 1.9198, TrainAcc: 89.83%, TrainLoss: 0.9112, Comm: 1113964.3KB, Cum: 124763999.1KB, Time: 34.0s                                         
Round 113: TestAcc: 28.46%, TestLoss: 1.9146, TrainAcc: 84.77%, TrainLoss: 1.1101, Comm: 1113964.3KB, Cum: 125877963.3KB, Time: 32.7s                                         
Round 114: TestAcc: 31.95%, TestLoss: 1.8239, TrainAcc: 85.63%, TrainLoss: 1.1893, Comm: 1113964.3KB, Cum: 126991927.6KB, Time: 35.2s                                         
Round 115: TestAcc: 32.60%, TestLoss: 1.8078, TrainAcc: 89.40%, TrainLoss: 1.1297, Comm: 1113964.3KB, Cum: 128105891.9KB, Time: 30.9s                                         
Round 116: TestAcc: 34.45%, TestLoss: 1.7929, TrainAcc: 81.70%, TrainLoss: 1.0032, Comm: 1113964.3KB, Cum: 129219856.2KB, Time: 35.0s                                         
Round 117: TestAcc: 25.12%, TestLoss: 1.9662, TrainAcc: 91.30%, TrainLoss: 0.9783, Comm: 1113964.3KB, Cum: 130333820.4KB, Time: 35.0s                                         
Round 118: TestAcc: 22.72%, TestLoss: 1.9592, TrainAcc: 85.16%, TrainLoss: 1.0080, Comm: 1113964.3KB, Cum: 131447784.7KB, Time: 32.3s                                         
Round 119: TestAcc: 26.77%, TestLoss: 1.8959, TrainAcc: 89.90%, TrainLoss: 0.9036, Comm: 1113964.3KB, Cum: 132561749.0KB, Time: 35.9s                                         
Round 120: TestAcc: 23.13%, TestLoss: 2.0483, TrainAcc: 91.26%, TrainLoss: 1.0010, Comm: 1113964.3KB, Cum: 133675713.3KB, Time: 31.8s                                         
Round 121: TestAcc: 32.10%, TestLoss: 2.0168, TrainAcc: 91.63%, TrainLoss: 0.8249, Comm: 1113964.3KB, Cum: 134789677.6KB, Time: 35.8s                                         
Round 122: TestAcc: 21.79%, TestLoss: 1.9456, TrainAcc: 89.06%, TrainLoss: 1.1042, Comm: 1113964.3KB, Cum: 135903641.8KB, Time: 32.4s                                         
Round 123: TestAcc: 29.12%, TestLoss: 1.8459, TrainAcc: 79.79%, TrainLoss: 1.2119, Comm: 1113964.3KB, Cum: 137017606.1KB, Time: 30.9s                                         
Round 124: TestAcc: 27.34%, TestLoss: 1.9256, TrainAcc: 87.20%, TrainLoss: 1.0607, Comm: 1113964.3KB, Cum: 138131570.4KB, Time: 32.0s                                         
Round 125: TestAcc: 15.35%, TestLoss: 2.1514, TrainAcc: 90.76%, TrainLoss: 0.9436, Comm: 1113964.3KB, Cum: 139245534.7KB, Time: 36.2s                                         
Round 126: TestAcc: 23.11%, TestLoss: 2.0362, TrainAcc: 89.71%, TrainLoss: 1.1092, Comm: 1113964.3KB, Cum: 140359498.9KB, Time: 31.3s                                         
